,tweet_id,source_x,date,time,rating_numerator,rating_denominator,name,dog_stages,jpg_url,predicted dog breed,degree of confidence,number of retweets,number of likes
1762,750383411068534784,Twitter for iPhone,2016-05-07,17:38:41,9,10,Zoe,pupper,https://pbs.twimg.com/media/CmnluwbXEAAqnkw.jpg,Border_collie,0.672791,1042,4268
1766,700864154249383937,Twitter for iPhone,2016-20-02,02:06:50,12,10,a,pupper,https://pbs.twimg.com/media/Cbn4OqKWwAADGWt.jpg,kuvasz,0.8058569999999999,559,2403
1767,749417653287129088,Twitter for iPhone,2016-03-07,01:41:06,11,10,Finn,pupper,https://pbs.twimg.com/media/CmZ3YH9WEAAowi3.jpg,papillon,0.772894,1517,5695
1768,701545186879471618,Twitter for iPhone,2016-21-02,23:13:01,10,10,Millie,pupper,https://pbs.twimg.com/media/CbxjnyOWAAAWLUH.jpg,Border_collie,0.280893,551,2459
1769,702598099714314240,Twitter for iPhone,2016-24-02,20:56:55,11,10,Sansa,pupper,https://pbs.twimg.com/media/CcAhPevW8AAoknv.jpg,kelpie,0.2191789999999999,3143,11353
1773,703611486317502464,Twitter for iPhone,2016-27-02,16:03:45,10,10,Scooter,pupper,https://pbs.twimg.com/media/CcO66OjXEAASXmH.jpg,Pembroke,0.756441,1385,3552
1774,704347321748819968,Twitter for iPhone,2016-29-02,16:47:42,10,10,Ralphson,pupper,https://pbs.twimg.com/media/CcZYJniXEAAEJRF.jpg,Brittany_spaniel,0.0829173,314,1449
1776,704859558691414016,Twitter for iPhone,2016-02-03,02:43:09,10,10,a,pupper,https://pbs.twimg.com/media/CcgqBNVW8AE76lv.jpg,pug,0.284428,477,2075
1777,705428427625635840,Twitter for iPhone,2016-03-03,16:23:38,11,10,Ambrose,pupper,https://pbs.twimg.com/media/CcovaMUXIAApFDl.jpg,Chihuahua,0.774792,1526,3525
1778,705975130514706432,Twitter for iPhone,2016-05-03,04:36:02,10,10,Adele,pupper,https://pbs.twimg.com/media/CcwgjmuXIAEQoSd.jpg,Staffordshire_bullterrier,0.5877640000000001,666,2870
1779,743222593470234624,Twitter for iPhone,2016-15-06,23:24:09,12,10,a,pupper,https://pbs.twimg.com/media/ClB09z0WYAAA1jz.jpg,kuvasz,0.350629,1744,5734
1782,741743634094141440,Twitter for iPhone,2016-11-06,21:27:17,11,10,Aqua,pupper,https://pbs.twimg.com/media/Cksz42EW0AAh2NF.jpg,Labrador_retriever,0.786089,2502,7555
1784,685169283572338688,Twitter for iPhone,2016-07-01,18:41:01,11,10,Gerbald,pupper,https://pbs.twimg.com/media/CYI10WhWsAAjzii.jpg,Bernese_mountain_dog,0.975096,1281,3787
1787,673342308415348736,Twitter for iPhone,2015-06-12,03:24:51,10,10,Django,pupper,https://pbs.twimg.com/media/CVgxQc5XIAAYL0W.jpg,Chihuahua,0.0135592,492,1139
1789,827933404142436356,Twitter for iPhone,2017-04-02,17:34:40,12,10,Kona,pupper,https://pbs.twimg.com/media/C31pCN4UcAAOLNH.jpg,German_shepherd,0.8061149999999999,4839,18873
1790,673295268553605120,Twitter for iPhone,2015-06-12,00:17:55,8,10,Eve,pupper,https://pbs.twimg.com/media/CVgGc9hWIAIe1bn.jpg,golden_retriever,0.889241,2753,6736
1791,676603393314578432,Twitter for iPhone,2015-15-12,03:23:14,9,10,Godzilla,pupper,https://pbs.twimg.com/media/CWPHMqKVAAAE78E.jpg,whippet,0.8770209999999999,341,1042
1796,685268753634967552,Twitter for iPhone,2016-08-01,01:16:17,10,10,Hubertson,pupper,https://pbs.twimg.com/media/CYKQS0xUQAEOptC.jpg,pug,0.999044,1078,2844
1797,677269281705472000,Twitter for iPhone,2015-16-12,23:29:14,10,10,the,pupper,https://pbs.twimg.com/media/CWYk0WxWoAAEwRt.jpg,Shetland_sheepdog,0.656616,636,1799
1799,822462944365645825,Twitter for iPhone,2017-20-01,15:17:01,14,10,Gabe,pupper,https://pbs.twimg.com/media/C2n5rUUXEAIXAtv.jpg,Pomeranian,0.960199,13159,26322
1801,672988786805112832,Twitter for iPhone,2015-05-12,04:00:04,10,10,Schnozz,pupper,https://pbs.twimg.com/media/CVbvjKqW4AA_CuD.jpg,Lakeland_terrier,0.8366319999999999,254,878
1808,673707060090052608,Twitter for iPhone,2015-07-12,03:34:14,10,10,Raymond,pupper,https://pbs.twimg.com/media/CVl8_EPWoAAcuSC.jpg,German_short-haired_pointer,0.935771,346,990
1809,673612854080196609,Twitter for iPhone,2015-06-12,21:19:54,7,10,Jeffri,pupper,https://pbs.twimg.com/media/CVknUTlVEAARjU5.jpg,Newfoundland,0.223101,632,1426
1810,850019790995546112,Twitter for iPhone,2017-06-04,16:18:05,12,10,Boomer,pupper,https://pbs.twimg.com/media/C8vgfTsXgAA561h.jpg,Shetland_sheepdog,0.759907,4379,18801
